,open,high,low,close,volume
462,78.79714112844532,79.51735175265541,78.592537,78.592537,10300700
463,78.46160028440859,78.77259613076602,77.6186254748204,78.420677,12200000
464,78.28973568639853,78.47796741341365,77.09484171451147,77.135765,12854200
465,77.20123740147739,78.37157310743987,76.76747743376801,78.10149399999999,11256800
466,77.51222881019724,77.5695179673507,76.76747304086857,77.283073,14015000
467,77.02117234979852,77.59406140524908,76.62014992914148,76.97206899999999,15576500
468,77.02116647681433,77.37308552083847,75.88356770659679,75.99814599999999,14028600
469,75.61349872016338,76.84931007576196,75.34342045994872,76.358261,13756500
470,76.60378371673993,77.02117859218521,75.76900215001447,76.865677,11563000
471,76.93933966156871,78.01964948172244,76.85749964535982,77.356728,10595400
472,77.1521280063933,77.90507534685541,76.38282051861042,76.41555799999999,10787900
473,76.45647876992629,77.6104494742664,75.63806215242727,77.430397,15583700
474,76.9720742495209,77.33217341729464,74.99150140981259,75.147003,17915600
475,75.6544221266675,76.33370372266988,74.39406072949802,74.966949,18173100
476,74.7378062539765,75.72808955259133,74.2794945804481,74.344963,14451100
477,74.87692038127015,75.48255265450226,73.70658484202119,74.107613,23120500
478,72.83908581424203,74.15673751087141,71.12859819631593,73.83755500000001,24703500
479,72.49533886035047,74.69687526421788,72.16797060701923,74.148537,25212600
480,74.58229104504981,75.49891995394059,74.066691120126,74.647766,18189200
481,74.17308419931368,75.20429061585261,74.17308419931368,75.10607900000001,10821700
482,75.99817201888283,76.95571787617557,75.58896368805974,76.644722,15757000
483,76.89842644600172,77.41402647240979,76.09638141486697,76.219139,12733600
484,77.18485283277869,77.73319593975475,76.82475369119925,77.02117199999999,11345100
485,77.0866543155642,77.36491347949679,76.29278946595147,77.332176,9734100
486,76.8083794805333,76.8083794805333,75.92448892736189,76.693802,11387700
487,77.29126929006709,77.91326184576508,76.87387516590694,77.83142099999999,12564100
488,78.09330436288384,78.55162171591645,76.6201586876275,77.414017,12409100
489,76.82475437101702,77.47948343684054,76.29278204338569,77.29943100000001,9767900
490,77.74137099538078,79.29636294971891,77.18484785199826,79.149048,17493700
491,79.02627895215998,79.46822376904127,77.5858703077397,77.96234100000001,13410000
492,77.34036212464119,77.65954375308827,76.84112722266879,77.356728,13498500
493,78.04420361972085,78.37975113410555,77.46312868321998,77.806862,12480000
494,77.8968934189301,78.91172838473895,77.16031764698295,78.780785,14731400
495,78.97037074589738,80.09145404257318,78.90442306946136,79.62158199999999,13233500
496,79.85240629747153,80.04199702336824,79.19294348528192,79.366051,9087600
497,78.95387693591212,79.55563688189882,78.8137432826287,79.473206,7990000
498,79.052821404978,79.46498417743017,78.40160340017802,78.62416800000001,11592800
499,78.27793348043129,78.48401481547961,77.34644831898888,78.03064,12355400
500,78.20377114060823,78.40160763341622,78.02241868661173,78.38511700000001,9352500
501,78.18726890557816,78.42632411536201,77.64321739459547,78.401596,8704400
502,78.37685048716071,78.92914678467967,77.92346910315011,78.203743,9263200
503,78.37685240843673,78.92090381771371,77.5937392394627,78.813744,8333200
504,78.6159259952057,79.05281768914361,78.52524936520288,78.98687,8422400
505,80.12443411259193,80.12443411259193,79.21767690971447,79.802948,12374900
506,79.41550461916827,79.79470006810051,78.5169932431363,78.904427,10172400
507,79.14348473330458,79.15996876862636,77.7915918771922,78.12956199999999,13747400
508,78.01415977471687,78.41807759662315,77.7833502973351,77.882271,9822100
509,75.4257735539455,75.71428579320599,74.27996208056615,74.634422,19556700
510,74.48605175547979,76.55511037444062,74.42010406793449,76.12645699999999,27584200
511,76.10171399380583,78.03887685864568,75.84617479174071,77.643204,20885300
512,78.03886576616372,78.5829237005595,77.48656952564201,78.269676,16220400
513,77.5937449643319,77.98942444106513,76.71996254106297,77.791588,12868600
514,77.4453628206714,77.97293021122563,76.95076844354716,77.33820300000001,11831900
515,76.57981640916786,76.76940709265382,75.31859961687748,75.590622,15735900
516,75.20319216316572,75.88737797295317,74.81575848611236,75.326836,15883800
517,74.78280359917154,74.79104850209653,72.70550022479078,73.092934,22279400
518,73.2495556620907,75.4587477278707,73.2413099351377,73.529823,21522200
519,73.1259084916309,73.3649636920315,71.386581,71.386581,24568300
520,72.15319548618798,73.0352227671094,71.3041412185468,71.633873,21373600
521,71.20521447158075,73.52981173696219,71.04859679163886,71.22995,26372400
522,71.9141407250005,74.1068494179221,71.8399547419989,73.381439,23323000
523,74.49430496894854,75.145523,72.87038275569893,75.145523,22882700
524,74.3623909743973,77.18982700000001,73.86779739991056,77.18982700000001,38469000
525,76.62927717354725,77.21454729778576,76.20886963226637,76.93428,17871800
526,77.09091161565524,78.45929430021332,76.70348361013588,77.972939,13706500
527,77.66794886599692,77.69267780649047,76.6457869021275,77.30524399999999,6875700
528,77.47833794826315,77.84104275068171,76.34901634111266,76.835365,10585000
529,76.93428924712504,77.37118087353565,76.57158360750014,76.719963,9892100
530,76.47265268288277,76.98373599798401,76.2583322347072,76.67873399999999,8743400
